4,3106
4,1048
4,1734
4,2420
4,3106
16,0
8,594
4,772
4,884
4,996
4,1108
8,1386
4,1564
4,1676
4,1788
4,1900
8,2178
4,2356
4,2468
4,2580
4,2692
8,2970
4,3148
4,3260
4,3372
4,3484
16,0
8,594
4,772
2,838
2,921
2,1004
2,1087
4,1224
2,1290
2,1373
2,1456
2,1539
4,1676
2,1742
2,1825
2,1908
2,1991
4,2128
2,2194
2,2277
2,2360
2,2443
8,2746
4,2924
2,2990
2,3073
2,3156
2,3239
4,3376
2,3442
2,3525
2,3608
2,3691
4,3828
2,3894
2,3977
2,4060
2,4143
4,4280
2,4346
2,4429
2,4512
2,4595
8,4898
4,5076
2,5142
2,5225
2,5308
2,5391
4,5528
2,5594
2,5677
2,5760
2,5843
4,5980
2,6046
2,6129
2,6212
2,6295
4,6432
2,6498
2,6581
2,6664
2,6747
8,7050
4,7228
2,7294
2,7377
2,7460
2,7543
4,7680
2,7746
2,7829
2,7912
2,7995
4,8132
2,8198
2,8281
2,8364
2,8447
4,8584
2,8650
2,8733
2,8816
2,8899
